UGID,Title,Platform,Also On,Released,Developer,Publisher,Genre(s),Metascore,User Score,Age Rating
00064042-5015-422a-bef1-2090843e5dae,Thronebreaker: The Witcher Tales,PC,iPhone/iPad  Playstation 4  Switch  Xbox One,Dec  4  2018,CD Projekt Red Studio,CD Projekt Red Studio,Role-Playing  Action RPG  Strategy  Turn-Based  Card Battle,80,7.4,T
00357db6-19a2-4439-984c-badae4f1e12a,Path of Sin: Greed,PC,Playstation 4  Switch  Xbox One,Aug 20  2019,Artifex Mundi,Artifex Mundi,Puzzle  Hidden Object,No score,tbd,T
0066d712-0705-4d43-8c5e-8827968f8062,Life Goes On: Done to Death,PC,Playstation 4  Playstation 4,May 17  2016,Infinite Monkeys,Infinite Monkeys,Action  Platformer  2D,77,6.9,E10+
00831b80-2294-433a-8fc1-7136424b42fd,Follia - Dear Father,PC,Playstation 4,Dec 15  2020,Real Game Machine,Real Game Machine,Action Adventure  Survival,No score,tbd,
00ab48c2-66f4-4924-9e5a-09c1fa9ba978,TumbleSeed,PC,Playstation 4  Switch,May  2  2017,Benedict Fritz,aeiowu,Action  General,69,5,E
00c0a1b8-90e4-46cf-b817-db97abaffa7f,The Jackbox Party Pack,PC,Playstation 4  PlayStation 3  Switch  Xbox 360  Xbox One,Nov 18  2014,Jackbox Games  Inc.,Telltale Games,Miscellaneous  Party  Party / Minigame,No score,7.5,T
00d6cfe0-0dcf-404a-8911-228ddaa57eef,Neighborhorde,PC,Playstation 4  Xbox One,Jun  6  2017,Fermenter Games,Fermenter Games,Action  Shooter  Shoot-'Em-Up  Top-Down,No score,tbd,E10+
00d90ae9-7e2d-430b-9135-b1a607cecc2b,Pinball FX3 - Williams Pinball: Universal Monsters,PC,iPhone/iPad  Playstation 4  Switch  Xbox One,Oct 29  2019,Zen Studios,Zen Studios,Action  Pinball,No score,tbd,E10+
00f8672e-07da-412f-a27f-856f9f3fa62a,Mega Man Legacy Collection 2,PC,Playstation 4  Switch  Xbox One,Aug  8  2017,Capcom,Capcom,Miscellaneous  Compilation,71,8.5,E10+
00f9037b-29f0-4bdd-b8fa-e5c8ca0fe064,Sniper: Ghost Warrior 3,PC,Playstation 4  Xbox One,Apr 25  2017,City Interactive,City Interactive,Action  Shooter  First-Person  Tactical  Modern,55,6.4,M
010db5b9-29fa-49b4-a2cf-5721d6ff4bf9,Claws of Furry,PC,Playstation 4  Switch  Xbox One,Sep 11  2018,Terahard,Terahard,Action  Platformer  2D,No score,tbd,E10+
011ac8cb-0929-44a9-9b9e-92d549620dd9,Loot Rascals,PC,Playstation 4,Mar  7  2017,Hollow Ponds,Hollow Ponds,Action Adventure  General,71,5.4,E10+
011bbc02-ee03-4812-afee-51e1ae36619e,Bayonetta,PC,Playstation 4  PlayStation 3  Switch  Wii U  Xbox 360  Xbox One,Feb 18  2020,PlatinumGames,Sega,Action Adventure  Linear,81,8.1,M
011dbef1-66c8-4b08-9c65-6786096ed349,Ultrawings VR,PC,Playstation 4  Switch,Dec 19  2017,Bit Planet Games  LLC,Bit Planet Games  LLC,Simulation  Flight  Civilian,No score,6.9,E
0139316e-6170-4186-b9c9-895f7e19bdd7,Pinball FX3: Universal Classics Pinball,PC,Playstation 4  Xbox One,Sep 26  2017,Zen Studios,Zen Studios,Action  Pinball,No score,tbd,E10+
0144673f-6b6d-4628-b94a-ae57b5e09e8b,Paw Paw Paw,PC,Playstation 4  Switch  Xbox One,Dec  1  2020,Ratalaika Games,Ratalaika Games,Action  Beat-'Em-Up  2D,No score,tbd,
0150d2b4-a542-4017-82e2-e72dae6aed61,LEVEL 22,PC,iPhone/iPad  Playstation 4  PlayStation 3  PlayStation Vita  Wii U  Xbox One,Feb 11  2016,Noego,Noego,Action  General,No score,tbd,E10+
0159bd1a-8c61-444d-8bc2-1ecc1b89523f,Hob,PC,Playstation 4  Switch,Sep 26  2017,Runic Games,Runic Games,Action  Action Adventure  General,79,6.9,T
016ba281-ce9f-44a8-8e5e-20267a899f62,Pure Pool,PC,Playstation 4  Switch  Xbox One,Jul 29  2014,VooFoo Studios,Ripstone,Alternative  Other  Sports  Miscellaneous  Parlor  Individual  Billiards,75,6.9,E
016bfd39-4941-4d3a-b3dd-d03774758bc0,Observation,PC,Playstation 4  Xbox One,May 21  2019,No Code,Devolver Digital,Adventure  General,75,6.3,M
017ad309-50c8-4186-a014-735322adb6c6,Stick it to the Man!,PC,Playstation 4  PlayStation 3  PlayStation Vita  Switch  Wii U  Xbox One,May  6  2014,Zoink!,Ripstone,Action  Platformer  3D,75,6.8,T
0184c585-c5dd-4e87-86d2-57bf16b70220,Conarium,PC,Playstation 4  Switch  Xbox One,Feb 12  2019,Zoetrope Interactive,Iceberg Interactive,Adventure  3D  First-Person,65,5.1,T
018da6a2-0cec-44fb-a588-1db983c1e957,Neverwinter: Sharandar,PC,Playstation 4  Xbox One,Mar  9  2021,Cryptic Studios,Perfect World Entertainment,Role-Playing  Massively Multiplayer,No score,tbd,
