UGID,Title,Platform,Also On,Released,Developer,Publisher,Genre(s),Metascore,User Score,Age Rating
bebe9b24-5b3c-457f-b7f9-e68e1a1ced04,140,Playstation 4,PC  Switch  Wii U  Xbox One,Sep  6  2016,Jeppe Carlsen,Abstraction Games,Action  Platformer  2D,72,tbd,E
862d3aab-8edf-45aa-833e-4b2a0b148bf0,#Funtime,Playstation 4,PC  Switch  Xbox One,Jul 16  2020,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,Action  Shooter  Shoot-'Em-Up  Top-Down,No score yet,tbd,
8ee42d18-5706-46de-b2b6-3ac361cf2012,#KILLALLZOMBIES,Playstation 4,PC  PlayStation 3  PlayStation Vita  Switch  Xbox One,Oct 28  2014,Beatshapers,Beatshapers,Action  Shooter  Third-Person  Shoot-'Em-Up  Sci-Fi  Top-Down,63,6.7,T
abfc1023-81e1-479a-837c-da67e2909a0a,#SinucaAttack,Playstation 4,Switch  Xbox One,Feb 10  2021,EastAsiaSoft,EastAsiaSoft,Puzzle  Action,No score yet,tbd,E
e039c0c6-761c-4ef9-99dc-6648540aa783,.hack//G.U. Last Recode,Playstation 4,PC,Nov  3  2017,CyberConnect2,Bandai Namco Games,Miscellaneous  Compilation,76,8.1,T
8b67c1b6-5867-4e47-b956-297d07b4a87b,10 Second Ninja X,Playstation 4,PC  PlayStation Vita  Xbox One,Jul 19  2016,GameDesignDan,Curve Digital,Action  Platformer  2D,76,5.4,T
d97980b5-7015-4af7-840c-cb1f16044e7e,1000 Top Rated,Playstation 4,Exclusive,Jun 27  2017,Top Rated,Top Rated,Miscellaneous  Puzzle  General  Party / Minigame,No score yet,1.6,E
c7f10767-a873-4567-833d-dba1a6f6d973,1001 Spikes,Playstation 4,3DS  PC  PlayStation Vita  Wii U  Xbox One,Jun  3  2014,Nicalis,Nicalis,Action  Platformer  Platformer  2D  2D,78,6.5,T
1b1c6ea9-7af0-41c3-9a84-d1f2c5471b31,100ft Robot Golf,Playstation 4,PC,Sep 27  2017,No Goblin,No Goblin,Sports  Individual  Golf  Arcade,56,5.9,E10+
cb730af1-d98b-488f-8f06-0b472973dec4,101 Ways to Die,Playstation 4,PC  Xbox One,Mar 22  2016,4 Door Lemon,Vision Games Publishing LTD,Action  Platformer  2D,60,6,T
4382b9a8-cbae-4e10-b541-72ae204e5b8c,11-11: Memories Retold,Playstation 4,PC  Xbox One,Nov  9  2018,Digixart Entertainment,Bandai Namco Games,Adventure  General  3D  Third-Person,77,7.7,T
9ac75525-0309-471a-99c9-244968091a45,11-11: Memories Retold - WarChild Charity,Playstation 4,Exclusive,Nov  9  2018,Digixart Entertainment,Bandai Namco Games,General  Adventure  3D  Third-Person,No score yet,tbd,
ef744cd6-6f0f-4b4f-95df-75f3ebb9322f,112th Seed,Playstation 4,Switch  Xbox One,Jul 28  2020,Nerd Game Studio,EastAsiaSoft,Puzzle  Action,No score yet,tbd,E
b04837f1-6984-4476-aa9d-881f3df5c531,13 Sentinels: Aegis Rim,Playstation 4,Exclusive,Sep 22  2020,Vanillaware,Atlus,Role-Playing  Action RPG  Adventure  General,85,9,T
4e20b22d-3ef1-433f-9c68-5554358ca939,16-Bit Soccer,Playstation 4,PC  Switch,Dec 23  2020,Sprakelsoft,Sprakelsoft,Sports  Team  Soccer  Arcade,No score yet,tbd,E
7adcf206-4ed0-400c-80a8-6d26d2a38a79,18 Floors,Playstation 4,PC,Jul  3  2018,Winking Entertainment,Winking Entertainment,Adventure  3D  First-Person,No score yet,5.9,E10+
4e91f55f-1a71-4444-b0ab-59d343c55958,1971 Project Helios,Playstation 4,PC  Switch  Xbox One,Jun  9  2020,Reco Technology,Reco Technology,Strategy  Turn-Based  Tactics,60,5.3,T
7e89a557-1785-4b1d-ac2f-ac82b9f0c257,1979 Revolution: Black Friday,Playstation 4,iPhone/iPad  PC  Switch  Xbox One,Jul 31  2018,iNK Stories,Digerati Distribution,Adventure  General,70,6,M
56dba2af-1dd1-4c25-bbdf-e5181f3dcb3f,198X,Playstation 4,PC  Switch,Jul 16  2019,Hi-Bit Studios,Hi-Bit Studios,Action  Miscellaneous  Platformer  Party / Minigame  2D,74,5.9,T
c70709f4-5cb6-42c8-b759-28dbbec8c3da,2064: Read Only Memories,Playstation 4,PC  PlayStation Vita  Xbox One,Jan 17  2017,MidBoss,MidBoss,General  Adventure  Point-and-Click,76,3.4,M
982f2d3c-b207-478b-91e7-11612556b8de,20XX,Playstation 4,PC  Switch  Xbox One,Jul 10  2018,Batterystaple Games,Fire Hose Games,Action  Platformer  2D,77,7.1,E10+
839b8ed6-5ec4-4feb-9475-c868d3666d4d,2Dark,Playstation 4,PC  Xbox One,Mar 10  2017,Gloomywood,Gloomywood,Action Adventure  General,54,7.3,M
1bb20f81-0a83-4fcc-986b-e8bf20ed47d7,2MD VR Football,Playstation 4,PC,May  8  2018,Truant Pixel,Truant Pixel,Sports  Team  Football  Arcade,No score yet,6.7,E
088dafd4-f55a-4264-989e-34b208f34d4b,36 Fragments of Midnight,Playstation 4,PC  PlayStation Vita  Switch,Dec 19  2017,Petite Games,Petite Games,Action  Platformer  2D,No score yet,4.1,E
d0b4e9cc-a975-4458-98b0-ba05faa002c0,39 Days to Mars,Playstation 4,PC  Switch  Xbox One,Oct 29  2019,It's Anecdotal,It's Anecdotal,Puzzle  Action,No score yet,tbd,E
2ed5baf8-b836-47fa-98a2-fae61657a26c,3D Billiards,Playstation 4,Exclusive,Dec 19  2017,Z-Software,Joindots,Sports  Individual  Billiards,No score yet,tbd,E
bdcc843d-6c55-4e86-8fe7-7488d198a4ee,3D Billiards: Billards & Snooker,Playstation 4,Exclusive,Dec 19  2017,PQube,Joindots,Sports  Individual  Billiards,No score yet,2.4,E
1612b510-f249-4458-b698-ef4c0668ee94,3D Mini Golf,Playstation 4,Exclusive,Mar  8  2018,PQube,PQube,Sports  Individual  Golf  Arcade,No score yet,tbd,
93b0486b-49e6-45e5-94df-c060c75a1714,3D MiniGolf,Playstation 4,PC  Switch,Aug 15  2017,Z-Software,Merge Games,Sports  Individual  Golf  Arcade,No score yet,tbd,E
6484d935-c705-4a37-9d47-a4aad7b36c55,3M SPAIN FOUNDATION - STEM+VR,Playstation 4,Exclusive,Dec 18  2019,DNT FRAMEWORK SLU,DNT FRAMEWORK SLU,Miscellaneous  Edutainment,No score yet,tbd,E
e3be449c-6040-4c3b-b1b6-86340f32890a,3on3 Freestyle,Playstation 4,PC  Xbox One,Dec  6  2016,Joycity,Joycity,Sports  Team  Basketball  Arcade,No score yet,6.1,E
355d6000-81be-4782-92ab-993607a2d0b5,428: Shibuya Scramble,Playstation 4,PC,Sep  4  2018,Spike Chunsoft,Spike Chunsoft,Action Adventure  Adventure  General  Visual Novel,85,7.6,T
09b1cc29-7589-41ae-b51e-947eef568519,5 Star Wrestling: ReGenesis,Playstation 4,Exclusive,Jan 19  2016,Serious Parody,Serious Parody,Sports  Individual  Combat  Wrestling,No score yet,2.7,T
2433ce5d-db41-410b-8587-e8e341b35048,60 Parsecs!,Playstation 4,iPhone/iPad  PC  Switch  Xbox One,Dec 18  2020,Robot Gentleman,Robot Gentleman,Adventure  General,No score yet,tbd,
3a7154dd-f31c-4e31-bf90-d6aed0231893,60 Seconds!,Playstation 4,iPhone/iPad  PC  Switch  Xbox One,Mar  6  2020,Robot Gentleman,Robot Gentleman,Action  General,No score yet,tbd,T
dbdfa41f-ee83-400f-8010-51f125038ef7,60 Seconds! Reatomized,Playstation 4,PC  Switch  Xbox One,Dec 18  2020,Robot Gentleman,Robot Gentleman,Action  General,No score yet,tbd,
e458f0dc-c1b2-458a-b681-7d4c18898cad,7 Days to Die,Playstation 4,PC  Xbox One,Jun 28  2016,Iron Galaxy Studios,Telltale Games,Action  Action Adventure  Shooter  Survival  Sandbox  First-Person  Arcade,45,6,M
b8d73128-9cbc-4f49-8b0a-9363ac91e3fc,7th Sector,Playstation 4,PC  Switch  Xbox One,Feb  5  2020,Sergey Noskov,Sometimes You,Adventure  Puzzle  Action  General,76,tbd,T
21510772-f9da-48ef-991b-ed685eae1717,8 to Glory: The Official Game of the PBR,Playstation 4,Xbox One,Jul 31  2018,Three Gates,Three Gates,Sports  Individual  Other,No score yet,tbd,E
42aac65f-aa06-4925-bdf9-30d302d3309e,88 Heroes,Playstation 4,PC  Xbox One,Mar 24  2017,Rising Star Games,Rising Star Games,Action  Platformer  2D,72,5.8,E10+
5e5d9d98-7373-4942-a521-36b7db044b78,88 Heroes: H8 Mode Activate!,Playstation 4,PC  Xbox One,Oct 20  2017,Bitmap Bureau,Rising Star Games,Action  Platformer  2D,No score yet,tbd,E10+
f5db22ec-91ed-4af5-8b8d-31200cf80568,88 Heroes: RSG Champions,Playstation 4,PC  Xbox One,Aug  8  2017,Bitmap Bureau,Rising Star Games,Action  Platformer  2D,No score yet,tbd,E10+
34783924-accd-4206-941f-922c907bc712,8-Bit Adventure Anthology: Volume One,Playstation 4,PC  Xbox One,Oct 31  2017,Abstraction Games,Abstraction Games,Miscellaneous  Compilation,71,tbd,E10+
c5653854-e69b-4f44-b174-3beb2f03a175,8-Bit Armies,Playstation 4,PC  Xbox One,Sep 21  2018,Petroglyph,Soedesco,Strategy  Real-Time  Command,70,tbd,E10+
7f53793d-61c3-4a3d-a85f-d1bae19cdee9,8-Bit Hordes,Playstation 4,PC  Xbox One,Feb  1  2019,Petroglyph,Petroglyph,Strategy  Real-Time  Command,63,3,
1cdbca94-7454-40c0-ab41-2f4440242162,8-Bit Invaders!,Playstation 4,PC  Xbox One,Feb 26  2019,Soedesco,Soedesco,Strategy  Real-Time  General,No score yet,tbd,E10+
8625ebb3-a1b7-4ee3-bd16-8053ab8f300f,8DAYS,Playstation 4,PC  Xbox One,Feb  7  2017,Santa Clara Games,Badland Games,Action  Shooter  Shoot-'Em-Up  Top-Down,61,5.9,M
80176c5f-82dc-4514-9828-fc45b9bf5758,9 Monkeys of Shaolin,Playstation 4,PC  Switch  Xbox One,Oct 16  2020,Sobaka,Buka Entertainment,Action  Beat-'Em-Up  3D,71,6.4,
b11b8ce7-403f-48ef-ab7b-dade978263fd,911 Operator,Playstation 4,iPhone/iPad  PC  Switch  Xbox One,Nov 28  2017,PlayWay,PlayWay,Simulation  Virtual  Career,No score yet,4,T
247788c9-d650-475a-8d9e-662067cb0d2a,99Vidas,Playstation 4,PC  PlayStation 3  PlayStation Vita  Xbox One,Jul 18  2017,QUByte Interactive,QUByte Interactive,Action  Beat-'Em-Up  2D,61,6.4,T
584a8794-c385-45ad-a348-854915547722,A Bastard's Tale,Playstation 4,PC,Oct  4  2016,No Pest Productions,No Pest Productions,Action  Fighting  2D,48,5.5,T
dd5c6479-3227-4011-88e1-1db01125226a,A Boy and His Blob,Playstation 4,iPhone/iPad  PC  PlayStation 3  PlayStation Vita  Xbox One,Jan 19  2016,Abstraction Games,Majesco,Action  Platformer  2D,66,6.3,E
20c99565-c163-4068-823b-22124404b7ab,A Chair in a Room: Greenwater,Playstation 4,PC,Apr 23  2019,Wolf &amp  Wood Interactive,Wolf &amp  Wood Interactive,Adventure  3D  First-Person,No score yet,4.8,
c512ccf4-2b99-4e43-b43c-731889246660,A Fisherman's Tale,Playstation 4,PC,Jan 22  2019,Innerspace VR,Vertigo Games,Adventure  General,70,5.7,
