UGID,Title,Platform,Also On,Released,Developer,Publisher,Genre(s),Metascore,User Score,Age Rating
00064042-5015-422a-bef1-2090843e5dae,Thronebreaker: The Witcher Tales,Xbox One,iPhone/iPad  PC  Switch  Playstation 4,Dec  4  2018,CD Projekt Red Studio,CD Projekt Red Studio,Role-Playing  Action RPG  Strategy  Turn-Based  Card Battle,80,7.4,T
00357db6-19a2-4439-984c-badae4f1e12a,Path of Sin: Greed,Xbox One,PC  Switch  Playstation 4,Aug 20  2019,Artifex Mundi,Artifex Mundi,Puzzle  Hidden Object,No score yet,tbd,T
00c0a1b8-90e4-46cf-b817-db97abaffa7f,The Jackbox Party Pack,Xbox One,PC  PlayStation 3  Switch  Xbox 360  Playstation 4,Nov 18  2014,Jackbox Games  Inc.,Telltale Games,Miscellaneous  Party  Party / Minigame,No score yet,7.5,T
00c2fb36-74b7-4d05-8164-496ca3519a3a,ACA NeoGeo: Strikers 1945 Plus,Xbox One,iPhone/iPad  Switch  Playstation 4,Jul  1  2019,Psikyo,Hamster,Action  Shooter  Shoot-'Em-Up  Vertical,No score yet,tbd,E
00d6cfe0-0dcf-404a-8911-228ddaa57eef,Neighborhorde,Xbox One,PC  Playstation 4,Jun  6  2017,Fermenter Games,Fermenter Games,Action  Shooter  Shoot-'Em-Up  Top-Down,No score yet,tbd,E10+
00d90ae9-7e2d-430b-9135-b1a607cecc2b,Pinball FX3 - Williams Pinball: Universal Monsters,Xbox One,iPhone/iPad  PC  Switch  Playstation 4,Oct 29  2019,Zen Studios,Zen Studios,Action  Pinball,No score yet,tbd,E10+
00f8672e-07da-412f-a27f-856f9f3fa62a,Mega Man Legacy Collection 2,Xbox One,PC  Switch  Playstation 4,Aug  8  2017,Capcom,Capcom,Miscellaneous  Compilation,71,8.5,E10+
00f9037b-29f0-4bdd-b8fa-e5c8ca0fe064,Sniper: Ghost Warrior 3,Xbox One,PC  Playstation 4,Apr 25  2017,City Interactive,City Interactive,Action  Shooter  First-Person  Tactical  Modern,55,6.4,M
010db5b9-29fa-49b4-a2cf-5721d6ff4bf9,Claws of Furry,Xbox One,PC  Switch  Playstation 4,Sep 11  2018,Terahard,Terahard,Action  Platformer  2D,No score yet,tbd,E10+
011bbc02-ee03-4812-afee-51e1ae36619e,Bayonetta,Xbox One,PC  PlayStation 3  Switch  Wii U  Xbox 360  Playstation 4,Feb 18  2020,PlatinumGames,Sega,Action Adventure  Linear,81,8.1,M
0139316e-6170-4186-b9c9-895f7e19bdd7,Pinball FX3: Universal Classics Pinball,Xbox One,PC  Playstation 4,Sep 26  2017,Zen Studios,Zen Studios,Action  Pinball,No score yet,tbd,E10+
0144673f-6b6d-4628-b94a-ae57b5e09e8b,Paw Paw Paw,Xbox One,PC  Switch  Playstation 4,Dec  1  2020,Ratalaika Games,Ratalaika Games,Action  Beat-'Em-Up  2D,No score yet,tbd,
