UGID,Title,Platform,Also On,Released,Developer,Publisher,Genre(s),Metascore,User Score,Age Rating
00064042-5015-422a-bef1-2090843e5dae,Thronebreaker: The Witcher Tales,Switch,iPhone/iPad  PC  Playstation 4  Xbox One,Dec  4  2018,CD Projekt Red Studio,CD Projekt Red Studio,Role-Playing  Action RPG  Strategy  Turn-Based  Card Battle,80,7.4,T
00357db6-19a2-4439-984c-badae4f1e12a,Path of Sin: Greed,Switch,PC  Playstation 4  Xbox One,Aug 20  2019,Artifex Mundi,Artifex Mundi,Puzzle  Hidden Object,No score yet,tbd,T
00695944-8b06-4cea-b0cd-cb21c6a29659,Arcade Archives: Formation Armed F,Switch,Playstation 4,May 27  2016,Hamster,Hamster,Action  Shooter  Shoot-'Em-Up  Vertical,No score yet,tbd,E
00ab48c2-66f4-4924-9e5a-09c1fa9ba978,TumbleSeed,Switch,PC  Playstation 4,May  2  2017,Benedict Fritz,aeiowu,Action  General,69,5,E
00c0a1b8-90e4-46cf-b817-db97abaffa7f,The Jackbox Party Pack,Switch,PC  PlayStation 3  Playstation 4  Xbox 360  Xbox One,Nov 18  2014,Jackbox Games  Inc.,Telltale Games,Miscellaneous  Party  Party / Minigame,No score yet,7.5,T
00c2fb36-74b7-4d05-8164-496ca3519a3a,ACA NeoGeo: Strikers 1945 Plus,Switch,iPhone/iPad  Playstation 4  Xbox One,Jul  1  2019,Psikyo,Hamster,Action  Shooter  Shoot-'Em-Up  Vertical,No score yet,tbd,E
00d90ae9-7e2d-430b-9135-b1a607cecc2b,Pinball FX3 - Williams Pinball: Universal Monsters,Switch,iPhone/iPad  PC  Playstation 4  Xbox One,Oct 29  2019,Zen Studios,Zen Studios,Action  Pinball,No score yet,tbd,E10+
00f8672e-07da-412f-a27f-856f9f3fa62a,Mega Man Legacy Collection 2,Switch,PC  Playstation 4  Xbox One,Aug  8  2017,Capcom,Capcom,Miscellaneous  Compilation,71,8.5,E10+
010db5b9-29fa-49b4-a2cf-5721d6ff4bf9,Claws of Furry,Switch,PC  Playstation 4  Xbox One,Sep 11  2018,Terahard,Terahard,Action  Platformer  2D,No score yet,tbd,E10+
011bbc02-ee03-4812-afee-51e1ae36619e,Bayonetta,Switch,PC  PlayStation 3  Playstation 4  Wii U  Xbox 360  Xbox One,Feb 18  2020,PlatinumGames,Sega,Action Adventure  Linear,81,8.1,M
011dbef1-66c8-4b08-9c65-6786096ed349,Ultrawings VR,Switch,PC  Playstation 4,Dec 19  2017,Bit Planet Games  LLC,Bit Planet Games  LLC,Simulation  Flight  Civilian,No score yet,6.9,E
0144673f-6b6d-4628-b94a-ae57b5e09e8b,Paw Paw Paw,Switch,PC  Playstation 4  Xbox One,Dec  1  2020,Ratalaika Games,Ratalaika Games,Action  Beat-'Em-Up  2D,No score yet,tbd,
0159bd1a-8c61-444d-8bc2-1ecc1b89523f,Hob,Switch,PC  Playstation 4,Sep 26  2017,Runic Games,Runic Games,Action  Action Adventure  General,79,6.9,T
016ba281-ce9f-44a8-8e5e-20267a899f62,Pure Pool,Switch,PC  Playstation 4  Xbox One,Jul 29  2014,VooFoo Studios,Ripstone,Alternative  Other  Sports  Miscellaneous  Parlor  Individual  Billiards,75,6.9,E
017ad309-50c8-4186-a014-735322adb6c6,Stick it to the Man!,Switch,PC  PlayStation 3  PlayStation Vita  Playstation 4  Wii U  Xbox One,May  6  2014,Zoink!,Ripstone,Action  Platformer  3D,75,6.8,T
0184c585-c5dd-4e87-86d2-57bf16b70220,Conarium,Switch,PC  Playstation 4  Xbox One,Feb 12  2019,Zoetrope Interactive,Iceberg Interactive,Adventure  3D  First-Person,65,5.1,T
01a24e5d-173c-466b-9b2f-85f648515e6a,Chop is Dish,Switch,PC  Playstation 4  Xbox One,Mar 16  2020,Victory Road,Victory Road,Action  Platformer  2D,No score yet,tbd,E10+
